"eCode","eName","eDesc","eStatus","eClarification"
"E433","Polyoxyethane (20) Sorbitan Mono-oleate/Polysorbate 80","Emulsifiers and Stabilizers - Fatty Acid derivatives","MUSBOOH","Halal if it is 100% from plant fat, Haram if it is from pork fat"
"E435","Polyoxyethane (20) Sorbitan Monostearate/Polysorbate 60","Emulsifiers and Stabilizers - Fatty Acid derivatives","MUSBOOH","Halal if it is 100% from plant fat, Haram if it is from pork fat"
"E436","Polyoxyethane (20) Sorbitan Tristearate/Polysorbate 65","Emulsifiers and Stabilizers - Fatty Acid derivatives","MUSBOOH","Halal if it is 100% from plant fat, Haram if it is from pork fat"
"E440b","Amidated Pectin","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Treatment of pectin with ammonia. Check that source of pectin is not from cider making."
"E441","Gelatine","Gelling Agent","MUSBOOH","From animal skin, tendons, ligaments, & bone. Check For Pork and Other Animal Fat"
"E442","Emulsifier YN","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","It could be obtained either vegetable fat or animal fat. Veg Sign indicates that only vegetable fat is used as a source oil."
"E445","Glycerol Esters of Wood Rosin","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Check source of glycerine"
"E470","Sodium, Potassium and Calcium Salts of Fatty Acids","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E470b","Magnesium Salts of Fatty Acids","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E471","Mono-and Diglycerides of Fatty Acids","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E472","Various Esters of Mono-and Diglycerides of Fatty Acids","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E472b","Lactoglycerides","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E472c","Citroglycerides","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E472d","Tartaric acid glycerol esters","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E472e","Acetyltartaric acid glycerol esters","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Check Source of Fat if Soy or Plant Fat then halal if pork then Haram"
"E472f","Mixed Acetic & Tartaric Acid Esters of Mono & Digl","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Check source of tartaric acid, glycerine, & fatty acids."
"E473","Sucrose Esters of Fatty Acids","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E474","Sucroglycerides","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E475","Polyglycerol Esters of Fatty Acids","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E476","Polyglycerol Esters of Polycondensed Esters of Caster Oil","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Halal if it is 100% from plant fat, Haram if it is from pork fat"
"E477","Propane-1,2-Diol Esters of Fatty Acids","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E478","Lactylated Fatty Acid Esters of Glycerol and Propane-1,2-Diol","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Halal if it is 100% from plant fat, Haram if it is from pork fat"
"E479b","Thermally oxidized Soya Bean Oil interacted with M","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Check source of fatty acids & glycerine"
"E481","Sodium Stearoyl-2-Lactylate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E482","Calcium Stearoyl-2-Lactylate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E483","Stearyl Tartrate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haram if it is from pork fat"
"E491","Sorbitan Monostearate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Halal if it is 100% from plant fat, Haram if it is from pork fat"
"E492","Sorbitan Tristearate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Halal if it is 100% from plant fat, Haram if it is from pork fat"
"E494","Sorbitan Mono-oleate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Halal if it is 100% from plant fat, Haram if it is from pork fat"
"E496","Sorbitan","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Salts or Esters of Fatty Acids. Suitable for vegetarian label indicates that only vegetable fat is used as a source"
"E542","Edible Bone Phosphate (Bone-Meal)","Miscellaneous - Anti-Caking Agents","MUSBOOH","Halal if the bones from zabiha slaughtered beef."
"E570","Stearic Acid","Miscellaneous - other compounds","MUSBOOH","Mushbooh,.Check Source of Fat if Soy or Plant Fat then halal if pork then Haram"
"E572","Magnesium Stearate","Miscellaneous - other compounds","MUSBOOH","Mushbooh.Check Source of Fat if Soy or Plant Fat then halal if pork then Haram"
"E630","Inosinic Acid","Miscellaneous - Flavour Enhancers","MUSBOOH","Torula yeast is grown on alcohol In Several countries to obtain Nucleotide which is mostly used in infant baby formula. In Several countries if Torula yeast grown on sugar cane and Inosinic acid is obtained from it then it is Halal otherwise it is not Halal"
"E631","Sodium 5-Inosinate","Miscellaneous - Flavour Enhancers","MUSBOOH","A flavour Enhancer It is meat extract or from dried sardines or microbiological fermentation."
"E632","Sodium 5-Inosinate","Miscellaneous - Flavour Enhancers","MUSBOOH","A flavour enhancer, IMP or inosine monophosphate is a nucleotide commercially obtained from Torula Yeast. Torula yeast is grown on alcohol In Several countries to obtain Nucleotide which is mostly used in infant baby formula. In Several countries if Torula yeast grown on sugar cane and Inosinic acid is obtained from it then it is Halal otherwise it is not Halal."
"E633","Calcium Inosinate","Miscellaneous - Flavour Enhancers","MUSBOOH","Torula yeast is grown on alcohol In Several countries to obtain Nucleotide which mostly used in infant baby formula. In Several countries if Torula yeast grown on sugar cane and Sodium Inosinate is obtained from it then it is Halal otherwise it is not Halal."
"E634","Calcium 5-ribonucleotides","Miscellaneous - Flavour Enhancers","MUSBOOH","Torula yeast is grown on alcohol In Several countries to obtain Nucleotide which is mostly used in infant baby formula. In Several countries if Torula yeast grown on sugar cane and Calcium5-Ribonucleotide is obtained from it then it is Halal otherwise it is not Halal."
"E635","Sodium5-Ribonucleotide","Miscellaneous - Flavour Enhancers","MUSBOOH","Mushbooh, it is a combination of E N 627 and EN 631"
"E640","Glycine & its Sodium Salt","Miscellaneous - Flavour Enhancers","MUSBOOH","Check Source of Glycin how is obtained"
"E910","L-Cysteine","Miscellaneous - Glazing Agents","MUSBOOH","Check Source: Human hair; feathers; or synthetic"
"E915","Esters of Colophony","Miscellaneous - Glazing Agents","MUSBOOH","Check source of these fats"
"E920","L-Cysteine Hydrochloride","Miscellaneous - Compounds used to treat Flour","MUSBOOH","Check Source: animal or human hair; chicken feathers; or synthetic."
"E921","L-Cystine","Improving agent","MUSBOOH","Check Source: Human hair; feathers; or synthetic"
"E1000","Cholic Acid","Emulsifier","MUSBOOH","Musbooh"
"E1101","Protease","Stablizer","MUSBOOH","Can by obtained from animal or plant. A Green Dot on the package of food product in India indicate it is from plant"
"E1405","Enzyme Treated Starch","Starch","MUSBOOH","Check Source of Phosphate in Several countries is also obtained from animal bones. Veg Sign on food package indicates that it is obtained from from mineral."""
"E1410","Phosphate","Thickening Agent","MUSBOOH","Check Source of Phosphate in Several countries is also obtained from animal bones. Veg Sign on food package indicates that it is obtained from from mineral."""
"E1412","Distarch Phosphate","Thickening Agent","MUSBOOH","Check Source of Phosphate in Several countries is also obtained from animal bones. Veg Sign on food package indicates that it is obtained from from mineral."""
"E1423","Acetylated Distarch Glycerol","Thickening Agent","MUSBOOH","Check source of glycerine."
"E1430","Distarch Glycerine","Thickening Agent","MUSBOOH","Check source of glycerine."
"E1441","Hydroxy Propyl Distarch Glycerine","Thickening Agent","MUSBOOH","Check source of glycerine."
"E1443","Hydroxy Propyl Starch Glycerol","Thickening Agent","MUSBOOH","Check source of glycerine."
"E1510","Ethanol","Additional Chemical","MUSBOOH","Chemical synthesis. Synthetic product is accepted as a carrier in quantities less than 0.5%"
"E1517","Diacetate","Flavour Solvent","MUSBOOH","Check source of Glyceryl"
"E1518","Glyceryl Triacetate","Flavour Solvent","MUSBOOH","Check source of Glyceryl"
"E100","Curcumin/Turmeric","Color","Halal","Halal if pure grind turmeric powder or granular. Mushbooh if used as liquid, the solvents has to be Halal. Haram if hidden ingredient is pork fat based emulsifier in dry mix."
"E101","Riboflavin (Vitamin B2)","Color","MUSBOOH","Mushbooh (Haraam if from pork liver & Kidney, Halal if 100% plant material"
"E101(a)","Riboflavin-5'-phosphate","Color","Halal","Halal"
"E102","Tartrazine","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
"E103","Chrysoine Resorcinol","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E104","Quinoline Yellow","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E105","Fast Yellow AB","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E106","Riboflavin-5-sodium Phosphate","Color","Halal","Halal"
"E107","Yellow 2G","Colors","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E110","Sunset Yellow FCF/Orange Yellow S","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E111","Orange GGN","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E120","Cochineal/Carminic Acid","Color","Haram","From insect Cochineal"
"E122","Carmoisine/Azorubine","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E123","Amaranth","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E124","Ponceau 4R/Cochineal Red A","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E125","Ponceau SX","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E126","Ponceau 6R","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E127","Erythrosine BS","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E128","Red 2G","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E129","Allura Red AC","Color","Halal","Halal"
"E130","Indanthrene Blue RS","Color","Halal","Halal"
"E131","Patent Blue V","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E132","Indigo Carmine/Idigotine","Color","Halal","Halal if use as is as a 100% synthetic color.Check Halal Status of glycerin"
"E133","Brilliant Blue FCF","Colors","Halal","Halal"
"E140","Chlorophyll","Color","Halal","Halal if use 100% powder .Check Halal Status of Solvent"
"E141","Copper Complex of Chlorophyll","Color","Halal","Halal if use 100% powder .Check Halal Status of Solvent"
"E142","Green S/Acid Brilliant Green BS","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E143","Fast Green FCF","Color","Halal","Halal"
"E150","Caramel Color/with chemicals","Color","Halal","Halal"
"E150a","Plain caramel","Color","Halal","Halal"
"E150b","Caustic sulphite caramel","Color","Halal","Halal"
"E150c","Ammonia caramel","Color","Halal","Halal"
"E150d","Sulphite ammonia caramel","Color","Halal","Halal"
"E151","Black PN/Brilliant Black BN","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E152","Carbon black (hydrocarbon)","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E153","Carbon Black/Vegetable Carbon (Charcoal)","Color","MUSBOOH","Animal or vegetable charred material"
"E154","Brown FK","Colors","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E155","Brown HT","Colors","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E160a","Alpha, Beta, Gamma","Color - Carotene","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E160b","Annatto, Bixin, Norbixin","Color - Carotene","Halal","Halal"
"E160c","Capsanthin/Capsorbin","Color- Carotene","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E160d","Lycopene","Color - Carotene","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E160e","Beta-apo-8-carotenal","Color - Carotene","Halal","Halal if used as 100% dry powder or granular or Halal if Veg Sign is shown Haraam if pork gelatin is used as hidden ingredient or carrier"
"E160f","Ethyl ester of Beta-apo-8-cartonoic acid","Color - Carotene","Halal","Halal if used as 100% dry powder or granular or Halal if Veg Sign is shown Haraam if pork gelatin is used as hidden ingredient or carrier"
"E161a","Flavoxanthin","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E161b","Lutein","Color","Halal","Halal if used as 100% dry powder or granular.Check Halal Status of Gycerine & Gelatin"
"E161c","Cryptoxanthin","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E161d","Rubixanthin","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E161e","Violaxanthin","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E161f","Rhodoxanthin","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E161g","Canthaxanthin","Color","MUSBOOH","Color Canthaxanthin is a carotene pigment of plants.Check Halal Status of Liquid chemicals and solvents"
"E161h","Zeaxanthin","Color","Halal","Halal"
"E161i","Citranaxanthin","Color","Halal","Halal"
"E161j","Astaxanthin","Color","Halal","Halal"
"E162","Beetroot Red/Betanin","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E163","Anthocyanins","Color","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E170","Calcium Carbonate (Chalk)","Color - Inorganic","Halal","Halal if obtained from rock mineral and used as 100% dry powder or granular. Mushbooh if used as liquid,Check Halal Status of Solventl"
"E171","Titanium Dioxide","Color - Inorganic","Halal","Halal"
"E172","Iron Oxides and Hydroxides","Color - Inorganic","Halal","Halal"
"E173","Aluminium","Color - Inorganic","Halal","Halal"
"E174","Silver","Color - Inorganic","Halal","Halal"
"E175","Gold","Color - Inorganic","Halal","Halal"
"E180","Pigment Rubine/Lithol Rubine BK","Color - Inorganic","Halal","Halal if used as 100% dry color. Mushbooh if used as liquid color, Check Halal Status of Solvent"
"E181","Tannin","Color - Inorganic","Halal","Halal"
"E200","Sorbic Acid","Preservative","Halal","Halal"
"E201","Soduim Sorbate","Preservative","Halal","Halal"
"E202","Potassium Sorbate","Preservative","Halal","Halal"
"E203","Calcium Sorbate","Preservative","Halal","Halal"
"E210","Benzoic Acid","Preservative","Halal","Halal"
"E211","Sodium Benzoate","Preservative","Halal","Halal"
"E212","Potassium Benzoate","Preservative","Halal","Halal"
"E213","Calcium Benzoate","Preservative","Halal","Halal, if calcium obtained from mineral, Mushbooh if it is obtained from bones."
"E214","Ethyl 4-hydroxybenzoate","Preservative","Halal","Halal, if used as 100% dry powder or granular.Check Halal Status of Solvent"
"E215","Ethyl 4-hydroxybenzoate, Sodium Salt","Preservative","Halal","Halal, if used as 100% dry powder or granular.Check Halal Status of Solvent"
"E216","Propyl 4-hydroxybenzoate","Preservative","Halal","Halal, if used as 100% dry powder or granular.Check Halal Status of Solvent"
"E217","Propyl 4-hydroxybenzoate, Sodium Salt","Preservative","Halal","Halal, if used as 100% dry powder or granular.Check Halal Status of Solvent"
"E218","Methyl 4-hydroxybenzoate","Preservative","Halal","Halal, if used as 100% dry powder or granular.Check Halal Status of Solvent"
"E219","Methyl 4-hydroxybenzoate, Sodium Salt","Preservative","Halal","Halal, if used as 100% dry powder or granular.Check Halal Status of Solvent"
"E220","Sulphur Dioxide","Preservative","Halal","Halal"
"E221","Sodium Sulphite","Preservative","Halal","Halal"
"E222","Sodium Hydrogen Sulphite","Preservative","Halal","Halal"
"E223","Sodium Metabisulphite","Preservative","Halal","Halal"
"E224","Potassium Metabisulphite","Preservative","Halal","Halal"
"E225","Sodium Sulfite","Preservative","Halal","Halal"
"E226","Calcium Sulphite","Preservative","Halal","Halal"
"E227","Calcium Hydrogen Sulphite","Preservative","Halal","Halal, if calcium is obtained from mineral or chemicals. Mushbooh if it is obtained from bones."
"E228","Potassium Hydrogen Sulphite","Preservative","Halal","Halal"
"E230","Biphenyl/Diphenyl","Preservative","Halal","Halal,Check Halal Status of Solvent also"
"E231","2-Hydroxybiphenyl","Preservative","Halal","Halal,Check Halal Status of Solvent also"
"E232","Sodium Biphenyl-2-yl Oxide","Preservative","Halal","Halal,Check Halal Status of Solvent also"
"E233","2-(Thiazol-4-yl) Benzimidazole","Preservative","Halal","Halal,Check Halal Status of Solvent also"
"E234","Nisin","Preservative - other","Halal","Halal"
"E235","Natamycin","Preservative","Halal","Halal"
"E236","Formic Acid","Preservative","Halal","Halal"
"E237","Sodium Formate","Preservative","Halal","Halal"
"E238","Calcium Formate","Preservative","Halal","Halal"
"E239","Hexamine","Preservative - other","Halal","Halal"
"E240","Formaldehyde","Preservative","Halal","Halal"
"E242","Dimethyl Dicarbonate","Preservative","Halal","Halal"
"E249","Potassium Nitrate","Preservative","Halal","Halal"
"E250","Sodium Nitrite","Preservative","Halal","Halal"
"E251","Sodium Nitrate","Preservative","Halal","Halal"
"E252","Potassium Nitrate(Saltpetre)","Preservative","MUSBOOH","Natural mineral; manufactured from waste animal or vegetable materia"
"E260","Acetic Acid","Miscellaneous - Acids","Halal","Halal"
"E261","Potassium Acetate","Miscellaneous - Acids","Halal","Halal"
"262","Sodium Acetate","Miscellaneous - Acids and their Salts","Halal","Halal"
"E263","Calcium Acetate","Miscellaneous - Acids","Halal","Halal"
"E264","Ammonium Acetate","Preservative","Halal","Halal"
"E270","Lactic Acid","Miscellaneous - Acids","Halal","Halal if obtained other than whey. In Several countries it is always from non dairy source."
"E280","Propionic Acid","Preservative - Acids","Halal","Halal"
"E281","Sodium Propionate","Preservative- Acids","Halal","Halal"
"E282","Calcium Propionate","Preservative- Acids","Halal","Halal if calcium obtained from mineral, Mushbooh if it obtained from bones"
"E283","Potassium Propionate","Preservative- Acids","Halal","Halal"
"E284","Boric Acid","Preservative","Halal","Halal"
"E285","Sodium Tetraborate","Preservative","Halal","Halal"
"E290","Carbon Dioxide","Miscellaneous","MUSBOOH","Fermentation (in production of alcohol); by-product of lime manufacture."
"E296","Malic Acid","Miscellaneous - Acids and their Salts","Halal","Halal"
"E297","Fumaric Acid","Miscellaneous - Acids and their Salts","Halal","Halal"
"E300","L-Ascorbic Acid (Vitamin C)","Antioxidants- Vitamin C","Halal","Halal"
"E301","Sodium-L-Ascorbate","Antioxidants- Vitamin C and derivatives","Halal","Halal"
"E302","Calcium-L-Ascorbate","Antioxidants- Vitamin C and derivatives","Halal","Halal, if the calcium source is from mineral, Mushbooh if it is from bones"
"E303","Potassium Ascorbate","Antioxidants","Halal","Halal"
"E304","Ascorbyl Palmitate","Antioxidants- Vitamin C and derivatives","Halal","Halal if saturated fatty acid Palmitic acid is obtained from plant.Check Halal Source of Fat"
"E306","Natural Extracts rich in Tocopherols","Antioxidants- Vitamin E","Halal","Halal If Tocopherol is obtained from plant fat. Haraam if Tocopherol is obtained from pork fat"
"E307","Synthetic Alpha-Tocopherol","Antioxidants- Vitamin E","Halal","Halal only if it is made with all Halal synthetic material without alcoholic fermentation synthetic method"
"E308","Synthetic Gamma-Tocopherol","Antioxidants- Vitamin E","Halal","Halal only if it is made with all Halal synthetic material without alcoholic fermentation synthetic method"
"E309","Synthetic Delta-Tocopherol","Antioxidants- Vitamin E","Halal","Halal only if it is made with all Halal synthetic material without alcoholic fermentation synthetic method"
"E310","Propyl Gallate","Antioxidants- other","Halal","Halal"
"E311","Octyl Gallate","Antioxidants- other","Halal","Halal if obtained from nutgalls or plant secretion"
"E312","Dodecyl Gallate","Antioxidants- other","Halal","Halal if obtained from nutgalls or plant secretion. Check Halal Status of Solvent"
"E315","Erythorbic Acid","Antioxidants","Halal","Halal"
"E316","Sodium Erythorbate","Antioxidants","Halal","Halal"
"E317","Erythorbin Acid","Antioxidants","Halal","Halal"
"E318","Sodium Erythorbin","Antioxidants","Halal","Halal"
"E319","tert-Butylhydroxyquinone","Antioxidants","Halal","Halal"
"E320","Butylated Hydroxyanisole (BHA)","Antioxidants- other","Halal","Halal if only vegetable oil is used as a carrier. Check Halal Source of Carriers. It is not available as pure 100% chemical."
"E321","Butylated Hydroxytoluene (BHT)","Antioxidants- other","Halal","Halal if only vegetable oil is used as a carrier. Check Halal Source of Carriers. It is not available as pure 100% chemical."
"E322","Lecithin","Emulsifiers and Stabilizers","Halal","Halal if obtained from soy fat or egg yolk in Several countries. It is Halal in Several Countries because it is always obtained from soy fat."
"E325","Sodium Lactate","Miscellaneous - Salts of Lactic Acid","Halal","Halal if the lactic acid from non dairy source"
"E326","Potassium Lactate","Miscellaneous - Salts of Lactic Acid","Halal","Halal if the lactic acid from non dairy source"
"E327","Calcium Lactate","Miscellaneous - Salts of Lactic Acid","Halal","Halal if the lactic acid from non dairy source and calcium from mineral"
"E329","Magnesium Lactate","Acidity regulator","Halal","Halal"
"E330","Citric Acid","Miscellaneous - Citric Acid and its Salts","Halal","Halal"
"E331","Sodium Citrates","Miscellaneous - Citric Acid and its Salts","Halal","Halal"
"E331a","Sodium Dihydrogen Citrate","Acidity regulator","Halal","Halal"
"E331b","Disodium Citrate","Acidity regulator","Halal","Halal"
"E331c","Trisodium Citrate","Acidity regulator","Halal","Halal"
"E332","Potassium Citrates","Miscellaneous - Citric Acid and its Salts","Halal","Halal"
"E333","Calcium Citrates","Miscellaneous - Citric Acid and its Salts","Halal","Halal if calcium source is not from bones"
"E334","Tartaric Acid","Miscellaneous - Tartaric Acid and its Salts","MUSBOOH","Halal, if it is not obtained from wine by-product, In Several countries it is Halal because it is obtained from un-fermented grapes."
"E335","Sodium Tartrates","Miscellaneous - Tartaric Acid and its Salts","MUSBOOH","Halal, if it is not obtained from wine by-product, In Several countries it is Halal because it is obtained from un-fermented grapes."
"E336","Potassium Tartrates (Cream of Tartar)","Miscellaneous - Tartaric Acid and its Salts","MUSBOOH","Halal, if it is not obtained from wine by-product, In Several countries it is Halal because it is obtained from un-fermented grapes."
"E337","Potassium Sodium Tartrates","Miscellaneous - Tartaric Acid and its Salts","MUSBOOH","Halal, if it is not obtained from wine by-product, In Several countries it is Halal because it is obtained from un-fermented grapes."
"E338","Orthophosphoric Acid","Miscellaneous - Phosphoric Acid and its Salts","Halal","Halal"
"E339a","Sodium Phosphates","Miscellaneous - Phosphoric Acid and its Salts","Halal","Halal"
"E339b","diSodium hydrogen orthophosphate","Acidity regulator","Halal","Halal"
"E339c","triSodium hydrogen orthophosphate","Acidity regulator","Halal","Halal"
"E340a","Potassium Phosphates","Acidity regulator","Halal","Halal"
"E340b","DiPotassium hydrogen orthophosphate","Acidity regulator","Halal","Halal"
"E340c","TriPotassium orthophosphate","Acidity regulator","Halal","Halal"
"E341a","Calcium Phosphates","Miscellaneous - Phosphoric Acid and its Salts","Halal","Halal if calcium from mineral source"
"E341b","Calcium Hydrogen Orthophosphate","Acidity regulator","Halal","Halal"
"E341c","triCalcium diorthophosphate","Acidity regulator","Halal","Halal"
"E343","Monomagnesium Phosphate","Acidity regulator","Halal","Halal"
"E350","Sodium Malate","Miscellaneous - Salts of Malic Acid","Halal","Halal"
"E351","Potassium Malate","Miscellaneous - Salts of Malic Acid","Halal","Halal"
"E352","Calcium Malate","Miscellaneous - Salts of Malic Acid","Halal","Halal"
"E353","Metataric Acid","Miscellaneous - Salts of Malic Acid","MUSBOOH","from wine or synthetic. Check source of tartaric acid."
"E354","Calcium Tartrate","Acidity regulator","MUSBOOH","from wine or synthetic. Check source of tartaric acid."
"E355","Adipic Acid","Miscellaneous - Salts of Malic Acid","Halal","Halal"
"E356","Sodium Adipate","Acidity regulator","Halal","Chech Source :synthetic Chemical is OK"
"E357","Potassium Adipate","Acidity regulator","Halal","Chech Source :synthetic Chemical is OK"
"E363","Succinic Acid","Miscellaneous - Salts of Malic Acid","Halal","Halal"
"E365","Sodium Fumarate","Acidity regulator","Halal","Halal"
"E366","Potassium Fumarate","Acidity regulator","Halal","Halal"
